Term1	Term2	String1	String2	Mean	StdDev	RawScores
tony_blair	united_kingdom	Tony Blair	United Kingdom	89.6667	13.8283	[100, 82, 96, 62, 100, 98]
ronald_reagan	barack_obama	Ronald Reagan	Barack Obama	89.5000	8.7321	[100, 83, 96, 79]
king_arthur	england	King Arthur	England	88.8333	9.6162	[78, 81, 100, 79, 96, 99]
ralph_lauren	karl_lagerfeld	Ralph Lauren	Karl Lagerfeld	88.1667	7.8617	[78, 86, 79, 99, 92, 95]
achilles	athens	Achilles	Athens	88.0000	11.1893	[99, 100, 89, 82, 70]
franklin_d._roosevelt	ronald_reagan	Franklin D. Roosevelt	Ronald Reagan	88.0000	8.5147	[100, 84, 91, 77]
blue_ridge_mountains	catskill_mountains	Blue Ridge Mountains	Catskill Mountains	88.0000	10.4499	[75, 100, 96, 93, 76]
vatican_museums	roman_catholic_church	Vatican Museums	Catholic Church	87.8000	8.9308	[87, 95, 82, 75, 100]
aristotle	greece	Aristotle	Greece	87.5000	15.0748	[99, 81, 100, 97, 57, 91]
river_kent	river_thames	River Kent	River Thames	87.3333	12.3108	[94, 84, 94, 90, 62, 100]
woodrow_wilson	jimmy_carter	Woodrow Wilson	Jimmy Carter	86.8333	11.9641	[95, 87, 92, 99, 86, 62]
moscow	volga_river	Moscow	Volga River	86.8333	15.0046	[99, 89, 100, 100, 63, 70]
brad_pitt	leonardo_dicaprio	Brad Pitt	Leonardo DiCaprio	86.8000	11.6516	[66, 100, 95, 88, 85]
john_kerry	dick_cheney	John Kerry	Dick Cheney	86.6000	7.7356	[80, 87, 100, 78, 88]
denmark	europe	Denmark	Europe	86.5000	15.1410	[61, 100, 90, 95]
shanghai_sharks	phoenix_suns	Shanghai Sharks	Phoenix Suns	86.3333	11.4552	[93, 93, 90, 65, 99, 78]
ferrari	lamborghini	Ferrari	Lamborghini	86.2500	14.1488	[80, 99, 66, 100]
ferdinand_vii_of_spain	spanish_armed_forces	Ferdinand VII of Spain	Spanish Armed Forces	86.0000	9.1378	[75, 100, 87, 82]
sachin_tendulkar	india	Sachin Tendulkar	India	86.0000	9.2195	[72, 78, 91, 84, 91, 100]
william_shakespeare	edgar_allan_poe	William Shakespeare	Edgar Allan Poe	86.0000	10.2956	[82, 72, 90, 100]
julius_caesar	italy	Julius Caesar	Italy	85.8333	22.5789	[97, 94, 36, 89, 100, 99]
karl_marx	joseph_stalin	Karl Marx	Joseph Stalin	85.7500	11.0990	[100, 80, 71, 92]
adele	united_kingdom	Adele	United Kingdom	85.6667	11.2349	[100, 85, 100, 76, 83, 70]
nelson_mandela	african_national_congress	Nelson Mandela	African National Congress	85.6000	11.0562	[99, 91, 89, 83, 66]
sergei_rachmaninoff	johann_sebastian_bach	Sergei Rachmaninoff	Johann Sebastian Bach	85.1667	14.1117	[100, 90, 90, 99, 67, 65]
european_space_agency	indian_space_research_organisation	European Space Agency	Indian Space Research Organisation	84.8333	16.7672	[99, 82, 75, 100, 54, 99]
seoul	samsung_electronics	Seoul	Samsung Electronics	84.8333	13.2088	[99, 79, 100, 79, 90, 62]
william_shatner	george_takei	William Shatner	George Takei	84.1667	14.1235	[60, 84, 100, 94, 95, 72]
condé_nast	virgin_media	Condé Nast	Virgin Media	84.0000	9.5131	[98, 73, 78, 87]
grand_canyon	colorado_river	Grand Canyon	Colorado River	83.4000	16.7045	[94, 100, 83, 88, 52]
rocky_mountains	himalayas	Rocky Mountains	Himalayas	82.2000	10.4575	[66, 98, 87, 79, 81]
rosa_parks	national_association_for_the_advancement_of_colored_people	Rosa Parks	National Association for the Advancement of Colored People	81.6000	11.4996	[86, 87, 98, 69, 68]
mikhail_bulgakov_museum	moscow	Mikhail Bulgakov Museum	Moscow	80.8333	18.7209	[86, 45, 69, 100, 95, 90]
george_harrison	liverpool	George Harrison	Liverpool	80.8000	10.7406	[92, 91, 67, 85, 69]
aeroflot	air_canada	Aeroflot	Air Canada	80.8000	22.3195	[89, 88, 90, 100, 37]
cirque_du_soleil	new_york_city_ballet	Cirque du Soleil	New York City Ballet	80.5000	11.7011	[89, 64, 84, 77, 70, 99]
minas_tirith	minas_morgul	Minas Tirith	Minas Morgul	80.4000	16.5723	[68, 97, 82, 56, 99]
zhang_ziyi	beijing	Zhang Ziyi	Beijing	80.0000	15.2096	[84, 51, 92, 99, 75, 79]
university_of_toronto	university_of_california,_berkeley	University of Toronto	University of California, Berkeley	79.5000	18.3280	[100, 84, 90, 94, 53, 56]
british_airways	aeroflot	British Airways	Aeroflot	79.4000	17.0012	[97, 60, 58, 95, 87]
cary_grant	william_shatner	Cary Grant	William Shatner	79.3333	14.5907	[100, 89, 90, 73, 63, 61]
qianlong_emperor	cao_cao	Qianlong Emperor	Cao Cao	79.2000	8.7040	[74, 90, 87, 79, 66]
hungarian_natural_history_museum	budapest	Hungarian Natural History Museum	Budapest	79.1667	35.8674	[95, 0, 97, 83, 100, 100]
harvard_law_school	london_school_of_economics	Harvard Law School	London School of Economics	78.8333	8.5131	[73, 64, 82, 87, 78, 89]
united_nations_security_council	world_economic_forum	United Nations Security Council	World Economic Forum	78.7500	16.3612	[60, 89, 66, 100]
shahrukh_khan	abhishek_bachchan	Shah Rukh Khan	Abhishek Bachchan	78.6667	19.9555	[84, 75, 37, 87, 90, 99]
danube	river_thames	Danube	River Thames	78.6000	12.4836	[99, 73, 83, 61, 77]
charlize_theron	screen_actors_guild	Charlize Theron	Screen Actors Guild	78.5000	16.8201	[99, 71, 56, 82, 100, 63]
norway	denmark	Norway	Denmark	77.6667	16.8984	[99, 91, 70, 46, 78, 82]
volga_river	nile	Volga River	Nile	77.2000	13.0445	[100, 66, 78, 79, 63]
toshiro_mifune	akira_kurosawa	Toshiro Mifune	Akira Kurosawa	76.8333	16.5672	[52, 87, 88, 73, 100, 61]
puerto_rico	cuba	Puerto Rico	Cuba	76.5000	13.4505	[65, 64, 78, 87, 65, 100]
matterhorn	mount_everest	Matterhorn	Mount Everest	76.5000	16.9091	[74, 60, 52, 93, 80, 100]
jane_austen	edgar_allan_poe	Jane Austen	Edgar Allan Poe	76.4000	15.7556	[70, 99, 91, 62, 60]
american_red_cross	american_heart_association	American Red Cross	American Heart Association	76.4000	22.9835	[39, 96, 60, 92, 95]
puerto_rico	united_states	Puerto Rico	United States	76.3333	25.3026	[86, 26, 67, 100, 100, 79]
christ	gautama_buddha	Jesus	Gautama Buddha	76.2500	13.8992	[64, 76, 66, 99]
cuba	florida	Cuba	Florida	76.0000	14.8661	[65, 56, 94, 85, 64, 92]
shahrukh_khan	mumbai	Shah Rukh Khan	Mumbai	76.0000	25.3377	[88, 84, 27, 100, 81]
leon_trotsky	fyodor_dostoyevsky	Leon Trotsky	Fyodor Dostoyevsky	75.7500	17.2246	[55, 83, 65, 100]
modern_gallery,_zagreb	zagreb	Modern Gallery, Zagreb	Zagreb	75.7500	38.5576	[96, 9, 99, 99]
fc_barcelona	fc_seoul	FC Barcelona	F.C. Seoul	75.5000	19.4315	[100, 98, 57, 82, 49, 67]
iceland	greenland	Iceland	Greenland	74.8333	13.7285	[58, 77, 79, 74, 61, 100]
odysseus	mount_olympus	Odysseus	Mount Olympus	74.8333	34.8014	[100, 0, 91, 71, 88, 99]
martin_luther_king,_jr.	rosa_parks	Martin Luther King, Jr.	Rosa Parks	74.5000	33.3204	[90, 17, 98, 93]
daniel_radcliffe	matt_damon	Daniel Radcliffe	Matt Damon	74.2500	20.5837	[43, 99, 71, 84]
vladimir_lenin	bolsheviks	Vladimir Lenin	Bolsheviks	74.2000	26.1870	[89, 91, 65, 27, 99]
vladimir_putin	moscow_metro	Vladimir Putin	Moscow Metro	74.0000	36.7083	[87, 11, 98, 100]
narendra_modi	indian_space_research_organisation	Narendra Modi	Indian Space Research Organisation	74.0000	16.0156	[63, 86, 54, 93]
burkina_faso	democratic_republic_of_the_congo	Burkina Faso	Democratic Republic of the Congo	73.8333	13.5082	[68, 63, 67, 98, 61, 86]
harvard_university	indian_institute_of_technology_delhi	Harvard University	Indian Institute of Technology Delhi	73.3333	11.0855	[79, 79, 86, 79, 63, 54]
muhammad_ali	world_boxing_organization	Muhammad Ali	World Boxing Organization	73.3333	33.3750	[100, 0, 83, 82, 84, 91]
fc_dynamo_voronezh	leicester_city_f.c.	F.C. Dynamo Voronezh	Leicester City F.C.	72.6667	28.3999	[61, 100, 100, 59, 94, 22]
switzerland	world_economic_forum	Switzerland	World Economic Forum	72.5000	25.0183	[60, 82, 24, 100, 77, 92]
international_atomic_energy_agency	united_nations_security_council	International Atomic Energy Agency	United Nations Security Council	71.5000	5.6789	[65, 68, 73, 80]
russia	fc_dynamo_voronezh	Russia	F.C. Dynamo Voronezh	70.7500	40.9107	[93, 92, 98, 0]
white_house_press_corps	condé_nast	White House Press Corps	Condé Nast	70.3333	18.2361	[68, 41, 100, 81, 59, 73]
oscar_wilde	maya_angelou	Oscar Wilde	Maya Angelou	70.0000	22.1923	[61, 39, 98, 82]
united_kingdom	eton_college	United Kingdom	Eton College	70.0000	31.8512	[100, 75, 88, 17]
bbc_worldwide	condé_nast	BBC Worldwide	Condé Nast	69.5000	39.7398	[92, 98, 1, 87]
jon_stewart	glenn_beck	Jon Stewart	Glenn Beck	69.5000	22.5592	[60, 78, 85, 25, 95, 74]
american_civil_liberties_union	national_association_for_the_advancement_of_colored_people	American Civil Liberties Union	National Association for the Advancement of Colored People	69.4000	27.1485	[72, 93, 73, 18, 91]
rome	mount_etna	Rome	Mount Etna	69.2000	21.0466	[70, 81, 60, 36, 99]
delhi	indian_space_research_organisation	Delhi	Indian Space Research Organisation	69.1667	35.8907	[86, 94, 92, 0, 44, 99]
royal_swedish_academy_of_sciences	indian_institutes_of_technology	Royal Swedish Academy of Sciences	Indian Institutes of Technology	69.0000	21.4864	[99, 85, 67, 68, 29, 66]
wales	cardiff_university	Wales	Cardiff University	69.0000	34.2296	[97, 73, 56, 99, 0, 89]
dale_earnhardt,_jr.	north_america	Dale Earnhardt, Jr.	North America	68.8333	30.6018	[99, 69, 62, 8, 99, 76]
bill_clinton	gordon_brown	Bill Clinton	Gordon Brown	68.8000	20.9895	[70, 79, 63, 34, 98]
fc_bayern_munich	technical_university_munich	F.C. Bayern Munich	Technical University Munich	68.5000	32.2167	[77, 0, 100, 68, 88, 78]
california	hawaii	California	Hawaii	67.8333	20.3831	[85, 74, 56, 58, 36, 98]
kyrgyzstan	turkey	Kyrgyzstan	Turkey	67.7500	11.5407	[66, 54, 65, 86]
royal_australian_air_force	russian_navy	Royal Australian Air Force	Russian Navy	67.5000	21.8384	[87, 72, 88, 23, 73, 62]
world_trade_organization	london_school_of_economics	World Trade Organization	London School of Economics	67.5000	20.9980	[87, 56, 65, 34, 64, 99]
europe	manchester_united_f.c.	Europe	Manchester United F.C.	67.5000	33.8169	[85, 73, 94, 100, 0, 53]
mount_st._helens	mount_vesuvius	Mount St. Helens	Mount vesuvius	67.4000	31.7024	[63, 95, 11, 68, 100]
bugatti	chrysler	Bugatti	Chrysler	67.2000	23.7015	[63, 92, 87, 69, 25]
iran	afghanistan	Iran	Afghanistan	66.8000	23.1983	[96, 85, 73, 44, 36]
monsanto	dupont	Monsanto	DuPont	66.8000	34.3127	[100, 70, 1, 84, 79]
lithuania	kosovo	Lithuania	Kosovo	66.7500	20.4007	[63, 35, 87, 82]
fred_astaire	carol_channing	Fred Astaire	Carol Channing	66.3333	29.6798	[86, 6, 85, 63, 96, 62]
brazil	bric	Brazil	BRIC	66.2500	31.1639	[17, 100, 64, 84]
cairo	tokyo	Cairo	Tokyo	66.0000	23.8223	[63, 70, 32, 99]
ohio_state_university	columbus_crew	Ohio State University	Columbus Crew S.C.	65.5000	38.6038	[0, 81, 81, 100]
oxfam	american_red_cross	Oxfam	American Red Cross	65.1667	41.6830	[96, 90, 92, 11, 100, 2]
oda_nobunaga	himeji_castle	Oda Nobunaga	Himeji Castle	65.0000	33.5440	[93, 83, 82, 0, 67]
algeria	france	Algeria	France	64.0000	34.5615	[72, 100, 7, 77]
ben_affleck	rosario_dawson	Ben Affleck	Rosario Dawson	63.7500	23.1017	[97, 47, 73, 38]
oedipus	sparta	Oedipus	Sparta	63.4000	33.6488	[99, 71, 66, 0, 81]
budapest	romanian_academy	Budapest	Romanian Academy	63.2500	37.8905	[81, 72, 100, 0]
world_trade_organization	united_states_department_of_homeland_security	World Trade Organization	United States Department of Homeland Security	63.0000	16.2481	[84, 77, 60, 38, 56]
university_of_missouri	university_of_north_carolina_at_greensboro	University of Missouri	University of North Carolina at Greensboro	62.8333	37.8656	[90, 99, 0, 66, 25, 97]
museo_del_prado	barcelona	Museo del Prado	Barcelona	62.4000	26.6878	[75, 82, 54, 14, 87]
social_security_administration	small_business_administration	Social Security Administration	Small Business Administration	62.4000	34.7194	[0, 86, 72, 100, 54]
belize	portugal	Belize	Portugal	62.0000	28.4693	[78, 49, 23, 98]
united_states	goldman_sachs	United States	Goldman Sachs	61.7500	37.6256	[0, 83, 65, 99]
hungary	afghanistan	Hungary	Afghanistan	61.0000	22.8364	[90, 63, 26, 65]
guangzhou	people's_bank_of_china	Guangzhou	People's Bank of China	61.0000	34.8941	[0, 87, 50, 100, 68]
new_york_city_ballet	london_symphony_orchestra	New York City Ballet	London Symphony Orchestra	60.8333	24.3544	[58, 70, 13, 81, 88, 55]
marilyn_monroe	brad_pitt	Marilyn Monroe	Brad Pitt	60.5000	32.8672	[100, 78, 7, 85, 66, 27]
ludwig_van_beethoven	berlin	Ludwig van Beethoven	Berlin	60.5000	26.6755	[81, 24, 100, 63, 30, 65]
bell_hooks	ayn_rand	bell hooks	Ayn Rand	60.3333	39.6681	[99, 79, 88, 0, 86, 10]
north_america	conagra_foods	North America	ConAgra Foods	59.8000	32.9266	[80, 80, 49, 0, 90]
sachin_tendulkar	ken_griffey,_jr.	Sachin Tendulkar	Ken Griffey, Jr.	59.7500	37.4591	[0, 56, 94, 89]
abraham_lincoln	napoleon	Abraham Lincoln	Napoleon	59.7500	31.0594	[65, 12, 63, 99]
beijing	yangtze_river	Beijing	Yangtze	59.6667	42.7031	[100, 0, 85, 94, 79, 0]
maya_angelou	bell_hooks	Maya Angelou	bell hooks	59.5000	32.0975	[59, 10, 70, 99]
german_army	spanish_navy	German Army	Spanish Navy	59.3333	15.6169	[42, 55, 73, 86, 56, 44]
fyodor_dostoyevsky	dean_koontz	Fyodor Dostoyevsky	Dean Koontz	59.2000	34.0082	[69, 79, 0, 100, 48]
johann_sebastian_bach	vienna	Johann Sebastian Bach	Vienna	59.2000	28.7152	[56, 79, 88, 67, 6]
munich	leipzig_university	Munich	Leipzig University	59.2000	31.1088	[87, 62, 82, 0, 65]
julia_roberts	lady_gaga	Julia Roberts	Lady Gaga	58.6667	19.2412	[84, 67, 59, 69, 51, 22]
guatemala	dominican_republic	Guatemala	Dominican Republic	58.5000	26.8840	[75, 81, 13, 65]
zinedine_zidane	paris_saint-germain_f.c.	Zinedine Zidane	Paris Saint-Germain F.C.	58.4000	38.4479	[93, 25, 83, 91, 0]
russia	warsaw	Russia	Warsaw	57.8333	32.6109	[99, 62, 8, 60, 92, 26]
mughal_empire	iran	Mughal Empire	Iran	57.7500	35.2163	[4, 74, 53, 100]
berlin	european_central_bank	Berlin	European Central Bank	57.6667	30.1423	[100, 50, 0, 66, 58, 72]
david_cameron	london_stock_exchange	David Cameron	London Stock Exchange	57.5000	37.1517	[0, 79, 52, 99]
barack_obama	united_nations_security_council	Barack Obama	United Nations Security Council	57.5000	27.4150	[63, 60, 59, 0, 84, 79]
j._r._r._tolkien	stan_lee	J.R.R. Tolkien	Stan Lee	57.4000	20.2938	[79, 47, 73, 65, 23]
ban_ki-moon	unicef	Ban Ki-Moon	UNICEF	57.4000	46.5558	[0, 97, 99, 90, 1]
edinburgh	european_space_agency	Edinburgh	European Space Agency	57.2500	30.0614	[52, 12, 94, 71]
oxfam	habitat_for_humanity	Oxfam	Habitat for Humanity	56.6667	37.7035	[64, 0, 11, 83, 83, 99]
ukraine	lithuania	Ukraine	Lithuania	56.6000	23.3889	[64, 92, 64, 24, 39]
silvio_berlusconi	ronald_reagan	Silvio Berlusconi	Ronald Reagan	56.0000	35.8678	[0, 63, 100, 61]
lionel_messi	derek_jeter	Lionel Messi	Derek Jeter	55.7500	36.4443	[0, 71, 52, 100]
university_of_the_punjab	indian_army	University of the Punjab	Indian Army	55.3333	24.9310	[83, 79, 64, 8, 47, 51]
athens	united_states_olympic_committee	Athens	United States Olympic Committee	55.0000	27.0407	[22, 54, 65, 100, 34]
richard_pryor	tupac_shakur	Richard Pryor	Tupac Shakur	54.7500	36.9755	[25, 12, 99, 83]
winston_churchill	bbc_worldwide	Winston Churchill	BBC Worldwide	54.4000	39.3985	[74, 99, 84, 0, 15]
glenn_beck	john_mccain	Glenn Beck	John McCain	54.3333	22.1485	[64, 87, 37, 17, 63, 58]
singapore	laos	Singapore	Laos	54.3333	30.2471	[60, 4, 90, 57, 86, 29]
colin_firth	adele	Colin Firth	Adele	54.2500	37.8575	[4, 80, 33, 100]
budapest	shanghai	Budapest	Shanghai	54.2500	30.2024	[92, 35, 16, 74]
richard_pryor	cary_grant	Richard Pryor	Cary Grant	54.0000	29.0574	[13, 32, 39, 98, 80, 62]
hammurabi_i	christ	Hammurabi i	Jesus	54.0000	31.8983	[82, 63, 71, 0]
aishwarya_rai	screen_actors_guild	Aishwarya Rai	Screen Actors Guild	54.0000	37.1430	[0, 82, 100, 23, 65]
lyndon_b._johnson	john_kerry	Lyndon B. Johnson	John Kerry	53.8333	26.3339	[87, 55, 77, 65, 15, 24]
anton_chekhov	oscar_wilde	Anton Chekhov	Oscar Wilde	53.8000	39.1173	[96, 8, 5, 83, 77]
james_earl_jones	angelina_jolie	James Earl Jones	Angelina Jolie	53.8000	27.0067	[62, 80, 19, 25, 83]
norway	london	Norway	London	53.5000	20.9464	[33, 39, 87, 55]
ottoman_empire	russia	Ottoman Empire	Russia	53.4000	28.1183	[43, 61, 11, 54, 98]
george_w._bush	yale_university	George W. Bush	Yale University	53.4000	37.6542	[0, 81, 68, 19, 99]
volga_river	soviet_armed_forces	Volga River	Soviet Armed Forces	53.2500	35.5484	[99, 50, 0, 64]
gene_kelly	american_ballet_theatre	Gene Kelly	American Ballet Theatre	53.1667	31.0130	[31, 0, 64, 68, 57, 99]
kolkata	indian_institute_of_technology_delhi	Kolkata	Indian Institute of Technology Delhi	52.8333	36.2511	[68, 62, 0, 100, 78, 9]
yandang_mountains	people's_liberation_army	Yandang Mountains	People's Liberation Army	52.7500	40.8985	[5, 86, 20, 100]
kim_jong-il	hirohito	Kim Jong-il	Hirohito	52.4000	35.4942	[11, 79, 7, 81, 84]
lionel_messi	wayne_gretzky	Lionel Messi	Wayne Gretzky	52.2000	32.7377	[29, 78, 0, 87, 67]
jimi_hendrix	john_philip_sousa	Jimi Hendrix	John Philip Sousa	51.8333	34.7055	[13, 1, 62, 57, 78, 100]
michelangelo	roman_catholic_church	Michelangelo	Catholic Church	51.1667	38.7187	[97, 34, 0, 100, 63, 13]
united_states_olympic_committee	world_boxing_organization	United States Olympic Committee	World Boxing Organization	51.0000	26.7283	[0, 78, 64, 59, 54]
munich	danube	Munich	Danube	51.0000	33.0983	[61, 0, 92, 51]
cornell_university_press	university_of_massachusetts_amherst	Cornell University Press	University of Massachusetts Amherst	50.8333	34.5177	[74, 19, 84, 92, 36, 0]
new_delhi	liberia	New Delhi	Liberia	50.6667	27.3354	[11, 36, 43, 98, 70, 46]
congo_river	nigeria	Congo River	Nigeria	50.5000	37.4689	[0, 0, 76, 68, 98, 61]
nile	algeria	Nile	Algeria	50.2000	40.2611	[90, 0, 4, 90, 67]
fc_bayern_munich	german_army	F.C. Bayern Munich	German Army	50.2000	42.4377	[0, 64, 0, 90, 97]
david_sedaris	buster_keaton	David Sedaris	Buster Keaton	49.8333	37.9667	[100, 76, 6, 16, 85, 16]
karl_marx	kurdistan_workers'_party	Karl Marx	Kurdistan Workers' Party	49.7500	31.3957	[0, 57, 55, 87]
the_louvre	museo_del_prado	The Louvre	Museo del Prado	49.7500	43.2110	[87, 14, 98, 0]
fred_astaire	ballets_russes	Fred Astaire	Ballets Russes	49.6667	26.4680	[49, 16, 59, 71, 16, 87]
johann_sebastian_bach	claude_debussy	Johann Sebastian Bach	Claude Debussy	49.4000	34.6849	[18, 87, 0, 60, 82]
united_states	target_corporation	United States	Target Corporation	49.3333	37.9195	[100, 0, 34, 7, 75, 80]
karachi	kiev	Karachi	Kiev	49.0000	34.3001	[0, 77, 34, 85]
winston_churchill	lyndon_b._johnson	Winston Churchill	Lyndon B. Johnson	49.0000	40.9573	[81, 10, 98, 7]
hammurabi_i	syria	Hammurabi i	Syria	48.1667	39.1340	[90, 12, 19, 0, 70, 98]
martin_van_buren	elizabeth_ii	Martin van Buren	Elizabeth II	48.0000	29.1290	[70, 14, 25, 83]
shanghai_art_museum	yangtze_river	Shanghai art museum	Yangtze	47.8333	32.6314	[99, 9, 73, 19, 63, 24]
russia	national_security_agency	Russia	National Security Agency	46.5000	26.3360	[70, 29, 64, 39, 1, 76]
moscow_kremlin	ottoman_empire	Moscow Kremlin	Ottoman Empire	46.4000	20.9151	[39, 55, 11, 53, 74]
warren_buffett	international_monetary_fund	Warren Buffett	International Monetary Fund	46.2500	33.0634	[64, 33, 88, 0]
canada	world_trade_organization	Canada	World Trade Organization	46.1667	24.3476	[80, 38, 60, 42, 56, 1]
the_louvre	paris_saint-germain_f.c.	The Louvre	Paris Saint-Germain F.C.	46.0000	46.2655	[99, 0, 0, 85]
gordon_brown	lyndon_b._johnson	Gordon Brown	Lyndon B. Johnson	45.7500	43.1299	[81, 6, 96, 0]
oceania	south_america	Oceania	South America	45.5000	11.9269	[44, 58, 58, 29, 31, 53]
boston_pops_orchestra	university_of_massachusetts_amherst	Boston Pops Orchestra	University of Massachusetts Amherst	44.8000	37.9863	[7, 84, 0, 41, 92]
taylor_swift	facebook	Taylor Swift	Facebook	44.4000	25.4291	[56, 76, 37, 0, 53]
ivan_the_terrible	uzbekistan	Ivan the Terrible	Uzbekistan	44.3333	35.9799	[41, 10, 33, 0, 83, 99]
bell_hooks	national_endowment_for_the_arts	bell hooks	National Endowment for the Arts	44.2500	25.1433	[30, 52, 14, 81]
jane_austen	british_airways	Jane Austen	British Airways	44.1667	34.1585	[58, 0, 69, 0, 46, 92]
virgin_media	university_of_oxford	Virgin Media	University of Oxford	43.5000	40.5247	[75, 7, 92, 0]
mount_ararat	roman_catholic_church	Mount Ararat	Catholic Church	43.5000	36.9628	[0, 52, 23, 99]
dionne_warwick	new_york_city	Dionne Warwick	New York City	43.3333	31.4996	[81, 3, 0, 65, 67, 44]
tony_blair	john_f._kennedy	Tony Blair	John F. Kennedy	43.0000	29.9132	[35, 74, 4, 21, 81]
abraham_lincoln	rand_paul	Abraham Lincoln	Rand Paul	43.0000	27.6526	[71, 40, 0, 66, 67, 14]
nicholas_ii_of_russia	tajikistan	Nicholas II of Russia	Tajikistan	42.5000	37.1248	[0, 47, 23, 100]
united_kingdom	paris_saint-germain_f.c.	United Kingdom	Paris Saint-Germain F.C.	42.0000	33.2084	[3, 0, 73, 70, 64]
a._r._rahman	john_philip_sousa	A. R. Rahman	John Philip Sousa	42.0000	41.0609	[86, 2, 80, 0]
palace_of_versailles	forbidden_city	Palace of Versailles	Forbidden City	41.6667	42.2874	[69, 0, 0, 0, 92, 89]
dupont	miller_brewing_company	DuPont	Miller Brewing Company	41.6667	32.7346	[0, 31, 60, 100, 13, 46]
arjuna	karachi	Arjuna	Karachi	41.6000	35.4886	[87, 0, 55, 0, 66]
fc_dynamo_voronezh	soviet_armed_forces	F.C. Dynamo Voronezh	Soviet Armed Forces	41.5000	34.9464	[26, 90, 0, 71, 62, 0]
river_thames	manchester_city_f.c.	River Thames	Manchester City F.C.	41.5000	36.8137	[0, 45, 22, 99]
mumbai	singapore	Mumbai	Singapore	41.3333	32.9377	[0, 27, 3, 82, 63, 73]
british_airways	university_of_oxford	British Airways	University of Oxford	41.1667	41.3498	[0, 0, 61, 83, 99, 4]
ibm	monsanto	IBM	Monsanto	41.0000	39.5854	[0, 10, 55, 81, 1, 99]
matt_damon	national_endowment_for_the_arts	Matt Damon	National Endowment for the Arts	40.7500	37.6123	[54, 13, 96, 0]
north_korea	the_philippines	North Korea	Philippines	40.5000	31.4152	[0, 11, 55, 80, 21, 76]
congo_river	mount_kenya	Congo River	Mount Kenya	40.5000	41.6843	[99, 0, 79, 0, 65, 0]
ghana	france	Ghana	France	40.5000	33.5745	[1, 48, 22, 91]
gary_oldman	los_angeles	Gary Oldman	Los Angeles	40.0000	38.2779	[91, 0, 31, 0, 78]
england	amnesty_international	England	Amnesty International	39.5000	42.2049	[1, 48, 88, 100, 0, 0]
